Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-1.2814, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AFG
-1.5961, 2060-2079, bcc_csm1_1, Annual Anomaly, AFG
-0.6295, 2060-2079, ccsm4, Annual Anomaly, AFG
-0.2939, 2060-2079, cesm1_cam5, Annual Anomaly, AFG
-1.9626, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AFG
-1.386, 2060-2079, gfdl_cm3, Annual Anomaly, AFG
-1.5609, 2060-2079, gfdl_esm2g, Annual Anomaly, AFG
-0.8199, 2060-2079, gfdl_esm2m, Annual Anomaly, AFG
-2.2507, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AFG
-2.2458, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AFG
-1.1154, 2060-2079, miroc5, Annual Anomaly, AFG
-1.5126, 2060-2079, miroc_esm_chem, Annual Anomaly, AFG
-1.7551, 2060-2079, miroc_esm, Annual Anomaly, AFG
-0.2686, 2060-2079, mri_cgcm3, Annual Anomaly, AFG
-0.9255, 2060-2079, noresm1_m, Annual Anomaly, AFG
-1.5515, 2060-2079, bcc_csm1_1_m, Annual Anomaly, DZA
-1.5743, 2060-2079, bcc_csm1_1, Annual Anomaly, DZA
-1.3212, 2060-2079, ccsm4, Annual Anomaly, DZA
-1.2614, 2060-2079, cesm1_cam5, Annual Anomaly, DZA
-1.2844, 2060-2079, csiro_mk3_6_0, Annual Anomaly, DZA
-2.2924, 2060-2079, gfdl_cm3, Annual Anomaly, DZA
-1.052, 2060-2079, gfdl_esm2g, Annual Anomaly, DZA
-1.4193, 2060-2079, gfdl_esm2m, Annual Anomaly, DZA
-2.1935, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, DZA
-2.3372, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, DZA
-1.2163, 2060-2079, miroc5, Annual Anomaly, DZA
-0.922, 2060-2079, miroc_esm_chem, Annual Anomaly, DZA
-1.3703, 2060-2079, miroc_esm, Annual Anomaly, DZA
-1.5476, 2060-2079, mri_cgcm3, Annual Anomaly, DZA
-1.4431, 2060-2079, noresm1_m, Annual Anomaly, DZA
-1.6297, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AND
-1.1571, 2060-2079, bcc_csm1_1, Annual Anomaly, AND
-0.8953, 2060-2079, ccsm4, Annual Anomaly, AND
-0.2877, 2060-2079, cesm1_cam5, Annual Anomaly, AND
-0.5452, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AND
-2.7246, 2060-2079, gfdl_cm3, Annual Anomaly, AND
-0.4602, 2060-2079, gfdl_esm2g, Annual Anomaly, AND
-0.9711, 2060-2079, gfdl_esm2m, Annual Anomaly, AND
-0.5967, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AND
-0.4032, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AND
-1.1214, 2060-2079, miroc5, Annual Anomaly, AND
-1.9214, 2060-2079, miroc_esm_chem, Annual Anomaly, AND
-1.6463, 2060-2079, miroc_esm, Annual Anomaly, AND
-0.145, 2060-2079, mri_cgcm3, Annual Anomaly, AND
-0.591, 2060-2079, noresm1_m, Annual Anomaly, AND
-0.72, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ATG
-1.2081, 2060-2079, bcc_csm1_1, Annual Anomaly, ATG
-1.3147, 2060-2079, ccsm4, Annual Anomaly, ATG
-0.8553, 2060-2079, cesm1_cam5, Annual Anomaly, ATG
-0.3795, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ATG
0.4549, 2060-2079, gfdl_cm3, Annual Anomaly, ATG
-0.1426, 2060-2079, gfdl_esm2g, Annual Anomaly, ATG
0.09864, 2060-2079, gfdl_esm2m, Annual Anomaly, ATG
-0.6615, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ATG
-0.9389, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ATG
-0.8945, 2060-2079, miroc5, Annual Anomaly, ATG
0.42089, 2060-2079, miroc_esm_chem, Annual Anomaly, ATG
0.89273, 2060-2079, miroc_esm, Annual Anomaly, ATG
0.08888, 2060-2079, mri_cgcm3, Annual Anomaly, ATG
-0.5831, 2060-2079, noresm1_m, Annual Anomaly, ATG
-1.1395, 2060-2079, bcc_csm1_1_m, Annual Anomaly, ARM
-1.5879, 2060-2079, bcc_csm1_1, Annual Anomaly, ARM
-0.8512, 2060-2079, ccsm4, Annual Anomaly, ARM
-0.5337, 2060-2079, cesm1_cam5, Annual Anomaly, ARM
-1.364, 2060-2079, csiro_mk3_6_0, Annual Anomaly, ARM
-0.9516, 2060-2079, gfdl_cm3, Annual Anomaly, ARM
-0.7656, 2060-2079, gfdl_esm2g, Annual Anomaly, ARM
-0.3504, 2060-2079, gfdl_esm2m, Annual Anomaly, ARM
-1.7776, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, ARM
-2.4164, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, ARM
-0.6458, 2060-2079, miroc5, Annual Anomaly, ARM
-1.6386, 2060-2079, miroc_esm_chem, Annual Anomaly, ARM
-0.965, 2060-2079, miroc_esm, Annual Anomaly, ARM
0.1438, 2060-2079, mri_cgcm3, Annual Anomaly, ARM
-0.7268, 2060-2079, noresm1_m, Annual Anomaly, ARM
-0.6962, 2060-2079, bcc_csm1_1_m, Annual Anomaly, AUS
-0.553, 2060-2079, bcc_csm1_1, Annual Anomaly, AUS
-0.3695, 2060-2079, ccsm4, Annual Anomaly, AUS
-0.4297, 2060-2079, cesm1_cam5, Annual Anomaly, AUS
-1.0743, 2060-2079, csiro_mk3_6_0, Annual Anomaly, AUS
-1.0378, 2060-2079, gfdl_cm3, Annual Anomaly, AUS
-0.5568, 2060-2079, gfdl_esm2g, Annual Anomaly, AUS
-0.9015, 2060-2079, gfdl_esm2m, Annual Anomaly, AUS
-1.389, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, AUS
-1.3951, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, AUS
0.0721, 2060-2079, miroc5, Annual Anomaly, AUS
-0.6872, 2060-2079, miroc_esm_chem, Annual Anomaly, AUS
-0.4492, 2060-2079, miroc_esm, Annual Anomaly, AUS
-0.4739, 2060-2079, mri_cgcm3, Annual Anomaly, AUS
-0.1847, 2060-2079, noresm1_m, Annual Anomaly, AUS
-0.6594, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BHS
0.12607, 2060-2079, bcc_csm1_1, Annual Anomaly, BHS
-0.3332, 2060-2079, ccsm4, Annual Anomaly, BHS
-0.4478, 2060-2079, cesm1_cam5, Annual Anomaly, BHS
0.58843, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BHS
-0.1681, 2060-2079, gfdl_cm3, Annual Anomaly, BHS
-0.5031, 2060-2079, gfdl_esm2g, Annual Anomaly, BHS
0.01283, 2060-2079, gfdl_esm2m, Annual Anomaly, BHS
-0.5263, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BHS
-0.0525, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BHS
0.31869, 2060-2079, miroc5, Annual Anomaly, BHS
0.1871, 2060-2079, miroc_esm_chem, Annual Anomaly, BHS
0.59569, 2060-2079, miroc_esm, Annual Anomaly, BHS
0.72188, 2060-2079, mri_cgcm3, Annual Anomaly, BHS
-0.2026, 2060-2079, noresm1_m, Annual Anomaly, BHS
-0.141, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BGD
0.6706, 2060-2079, bcc_csm1_1, Annual Anomaly, BGD
-0.4187, 2060-2079, ccsm4, Annual Anomaly, BGD
-0.3277, 2060-2079, cesm1_cam5, Annual Anomaly, BGD
-0.4761, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BGD
0.11745, 2060-2079, gfdl_cm3, Annual Anomaly, BGD
0.1168, 2060-2079, gfdl_esm2g, Annual Anomaly, BGD
0.31479, 2060-2079, gfdl_esm2m, Annual Anomaly, BGD
-0.4447, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BGD
-0.1727, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BGD
0.03191, 2060-2079, miroc5, Annual Anomaly, BGD
-0.021, 2060-2079, miroc_esm_chem, Annual Anomaly, BGD
0.72503, 2060-2079, miroc_esm, Annual Anomaly, BGD
0.02794, 2060-2079, mri_cgcm3, Annual Anomaly, BGD
-0.0278, 2060-2079, noresm1_m, Annual Anomaly, BGD
0.02685, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BEL
-0.8546, 2060-2079, bcc_csm1_1, Annual Anomaly, BEL
-0.9269, 2060-2079, ccsm4, Annual Anomaly, BEL
-0.2589, 2060-2079, cesm1_cam5, Annual Anomaly, BEL
-0.797, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BEL
-1.0455, 2060-2079, gfdl_cm3, Annual Anomaly, BEL
-0.3681, 2060-2079, gfdl_esm2g, Annual Anomaly, BEL
0.2229, 2060-2079, gfdl_esm2m, Annual Anomaly, BEL
-0.5901, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BEL
-0.3479, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BEL
-1.0198, 2060-2079, miroc5, Annual Anomaly, BEL
0.69626, 2060-2079, miroc_esm_chem, Annual Anomaly, BEL
0.82022, 2060-2079, miroc_esm, Annual Anomaly, BEL
-0.5931, 2060-2079, mri_cgcm3, Annual Anomaly, BEL
-0.2403, 2060-2079, noresm1_m, Annual Anomaly, BEL
-1.4116, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BLZ
-0.9098, 2060-2079, bcc_csm1_1, Annual Anomaly, BLZ
-1.2421, 2060-2079, ccsm4, Annual Anomaly, BLZ
-1.0983, 2060-2079, cesm1_cam5, Annual Anomaly, BLZ
-0.0566, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BLZ
0.2813, 2060-2079, gfdl_cm3, Annual Anomaly, BLZ
-0.2629, 2060-2079, gfdl_esm2g, Annual Anomaly, BLZ
-0.1169, 2060-2079, gfdl_esm2m, Annual Anomaly, BLZ
-1.3713, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BLZ
-2.12, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BLZ
-1.061, 2060-2079, miroc5, Annual Anomaly, BLZ
-0.1981, 2060-2079, miroc_esm_chem, Annual Anomaly, BLZ
-0.361, 2060-2079, miroc_esm, Annual Anomaly, BLZ
-0.821, 2060-2079, mri_cgcm3, Annual Anomaly, BLZ
-1.1825, 2060-2079, noresm1_m, Annual Anomaly, BLZ
-0.6875, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BEN
-0.672, 2060-2079, bcc_csm1_1, Annual Anomaly, BEN
0.05502, 2060-2079, ccsm4, Annual Anomaly, BEN
0.02011, 2060-2079, cesm1_cam5, Annual Anomaly, BEN
-0.7394, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BEN
0.27539, 2060-2079, gfdl_cm3, Annual Anomaly, BEN
0.09931, 2060-2079, gfdl_esm2g, Annual Anomaly, BEN
-0.266, 2060-2079, gfdl_esm2m, Annual Anomaly, BEN
0.0013, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BEN
-0.8807, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BEN
0.85109, 2060-2079, miroc5, Annual Anomaly, BEN
1.00107, 2060-2079, miroc_esm_chem, Annual Anomaly, BEN
1.01351, 2060-2079, miroc_esm, Annual Anomaly, BEN
-0.1421, 2060-2079, mri_cgcm3, Annual Anomaly, BEN
-0.1993, 2060-2079, noresm1_m, Annual Anomaly, BEN
-0.2267, 2060-2079, bcc_csm1_1_m, Annual Anomaly, BTN
0.75829, 2060-2079, bcc_csm1_1, Annual Anomaly, BTN
0.20363, 2060-2079, ccsm4, Annual Anomaly, BTN
0.80188, 2060-2079, cesm1_cam5, Annual Anomaly, BTN
-0.607, 2060-2079, csiro_mk3_6_0, Annual Anomaly, BTN
0.57741, 2060-2079, gfdl_cm3, Annual Anomaly, BTN
0.12299, 2060-2079, gfdl_esm2g, Annual Anomaly, BTN
-0.0879, 2060-2079, gfdl_esm2m, Annual Anomaly, BTN
-0.7217, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, BTN
0.06371, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, BTN
