Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-0.8728, 2080-2099, access1_3, Annual Anomaly, ALB
-1.0043, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ALB
-0.5503, 2080-2099, bcc_csm1_1, Annual Anomaly, ALB
-1.0394, 2080-2099, bnu_esm, Annual Anomaly, ALB
-0.9525, 2080-2099, canesm2, Annual Anomaly, ALB
-1.036, 2080-2099, ccsm4, Annual Anomaly, ALB
-1.4018, 2080-2099, cesm1_bgc, Annual Anomaly, ALB
-0.5994, 2080-2099, cesm1_cam5, Annual Anomaly, ALB
-0.0557, 2080-2099, cnrm_cm5, Annual Anomaly, ALB
-2.0343, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ALB
-2.0593, 2080-2099, gfdl_cm3, Annual Anomaly, ALB
-0.3188, 2080-2099, gfdl_esm2g, Annual Anomaly, ALB
-0.7609, 2080-2099, gfdl_esm2m, Annual Anomaly, ALB
-1.3293, 2080-2099, inmcm4, Annual Anomaly, ALB
-1.4335, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, ALB
-0.9871, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, ALB
-0.638, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, ALB
-1.0651, 2080-2099, miroc5, Annual Anomaly, ALB
-2.3334, 2080-2099, miroc_esm_chem, Annual Anomaly, ALB
-1.9359, 2080-2099, miroc_esm, Annual Anomaly, ALB
-0.4413, 2080-2099, mpi_esm_mr, Annual Anomaly, ALB
-0.613, 2080-2099, mri_cgcm3, Annual Anomaly, ALB
-0.9698, 2080-2099, noresm1_m, Annual Anomaly, ALB
-2.9267, 2080-2099, access1_3, Annual Anomaly, DZA
-1.5392, 2080-2099, bcc_csm1_1_m, Annual Anomaly, DZA
-1.2358, 2080-2099, bcc_csm1_1, Annual Anomaly, DZA
-1.3786, 2080-2099, bnu_esm, Annual Anomaly, DZA
-1.5717, 2080-2099, canesm2, Annual Anomaly, DZA
-1.8091, 2080-2099, ccsm4, Annual Anomaly, DZA
