Mean Drought Index - (SPEI), Year, Model, Statistics, ISO3
-1.462, 2080-2099, access1_3, Annual Anomaly, ALB
-2.6044, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ALB
-2.262, 2080-2099, bcc_csm1_1, Annual Anomaly, ALB
-2.5671, 2080-2099, bnu_esm, Annual Anomaly, ALB
-2.0074, 2080-2099, canesm2, Annual Anomaly, ALB
-2.516, 2080-2099, ccsm4, Annual Anomaly, ALB
-1.6411, 2080-2099, cesm1_bgc, Annual Anomaly, ALB
-1.632, 2080-2099, cesm1_cam5, Annual Anomaly, ALB
-1.8298, 2080-2099, cmcc_cesm, Annual Anomaly, ALB
-2.4355, 2080-2099, cmcc_cm, Annual Anomaly, ALB
-1.9429, 2080-2099, cmcc_cms, Annual Anomaly, ALB
-0.6015, 2080-2099, cnrm_cm5, Annual Anomaly, ALB
-2.6389, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ALB
-3.8447, 2080-2099, gfdl_cm3, Annual Anomaly, ALB
-2.0704, 2080-2099, gfdl_esm2g, Annual Anomaly, ALB
-2.0629, 2080-2099, gfdl_esm2m, Annual Anomaly, ALB
-2.1444, 2080-2099, inmcm4, Annual Anomaly, ALB
-2.7293, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, ALB
-2.3755, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, ALB
-1.6744, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, ALB
-2.14, 2080-2099, miroc5, Annual Anomaly, ALB
-0.0763, 2080-2099, miroc_esm_chem, Annual Anomaly, ALB
-3.5483, 2080-2099, miroc_esm, Annual Anomaly, ALB
-1.6231, 2080-2099, mpi_esm_mr, Annual Anomaly, ALB
-1.4726, 2080-2099, mri_cgcm3, Annual Anomaly, ALB
-0.5702, 2080-2099, mri_esm1, Annual Anomaly, ALB
-1.7385, 2080-2099, noresm1_m, Annual Anomaly, ALB
-1.8913, 2080-2099, access1_3, Annual Anomaly, ATG
-2.0838, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ATG
-1.9402, 2080-2099, bnu_esm, Annual Anomaly, ATG
-1.9482, 2080-2099, canesm2, Annual Anomaly, ATG
-3.6727, 2080-2099, ccsm4, Annual Anomaly, ATG
-3.476, 2080-2099, cesm1_bgc, Annual Anomaly, ATG
-1.2539, 2080-2099, cesm1_cam5, Annual Anomaly, ATG
-2.1334, 2080-2099, cmcc_cesm, Annual Anomaly, ATG
-1.4047, 2080-2099, cmcc_cm, Annual Anomaly, ATG
-1.5114, 2080-2099, cmcc_cms, Annual Anomaly, ATG
-0.7993, 2080-2099, cnrm_cm5, Annual Anomaly, ATG
-0.8702, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ATG
-0.4075, 2080-2099, gfdl_cm3, Annual Anomaly, ATG
0.37027, 2080-2099, gfdl_esm2g, Annual Anomaly, ATG
0.48217, 2080-2099, gfdl_esm2m, Annual Anomaly, ATG
-1.847, 2080-2099, inmcm4, Annual Anomaly, ATG
-0.6965, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, ATG
-0.1109, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, ATG
-1.329, 2080-2099, miroc5, Annual Anomaly, ATG
-0.6987, 2080-2099, miroc_esm_chem, Annual Anomaly, ATG
-0.5416, 2080-2099, miroc_esm, Annual Anomaly, ATG
-1.4277, 2080-2099, mpi_esm_mr, Annual Anomaly, ATG
-0.5459, 2080-2099, mri_cgcm3, Annual Anomaly, ATG
-0.3061, 2080-2099, mri_esm1, Annual Anomaly, ATG
-1.3018, 2080-2099, noresm1_m, Annual Anomaly, ATG
-0.9759, 2080-2099, access1_3, Annual Anomaly, ARM
-2.8883, 2080-2099, bcc_csm1_1_m, Annual Anomaly, ARM
-1.1948, 2080-2099, bcc_csm1_1, Annual Anomaly, ARM
-1.5301, 2080-2099, bnu_esm, Annual Anomaly, ARM
-1.7172, 2080-2099, canesm2, Annual Anomaly, ARM
-1.794, 2080-2099, ccsm4, Annual Anomaly, ARM
-2.4179, 2080-2099, cesm1_bgc, Annual Anomaly, ARM
-1.4567, 2080-2099, cesm1_cam5, Annual Anomaly, ARM
-2.3562, 2080-2099, cmcc_cesm, Annual Anomaly, ARM
-2.2025, 2080-2099, cmcc_cm, Annual Anomaly, ARM
-2.1529, 2080-2099, cmcc_cms, Annual Anomaly, ARM
0.03842, 2080-2099, cnrm_cm5, Annual Anomaly, ARM
-2.8547, 2080-2099, csiro_mk3_6_0, Annual Anomaly, ARM
-2.7269, 2080-2099, gfdl_cm3, Annual Anomaly, ARM
-2.2974, 2080-2099, gfdl_esm2g, Annual Anomaly, ARM
-1.2834, 2080-2099, gfdl_esm2m, Annual Anomaly, ARM
-2.1613, 2080-2099, inmcm4, Annual Anomaly, ARM
-3.1636, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, ARM
-3.751, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, ARM
-2.1154, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, ARM
-1.7349, 2080-2099, miroc5, Annual Anomaly, ARM
-2.5129, 2080-2099, miroc_esm_chem, Annual Anomaly, ARM
-1.7642, 2080-2099, miroc_esm, Annual Anomaly, ARM
-1.8327, 2080-2099, mpi_esm_mr, Annual Anomaly, ARM
-0.4912, 2080-2099, mri_cgcm3, Annual Anomaly, ARM
0.1221, 2080-2099, mri_esm1, Annual Anomaly, ARM
-1.9041, 2080-2099, noresm1_m, Annual Anomaly, ARM
-0.5838, 2080-2099, access1_3, Annual Anomaly, AZE
-2.6618, 2080-2099, bcc_csm1_1_m, Annual Anomaly, AZE
-0.497, 2080-2099, bcc_csm1_1, Annual Anomaly, AZE
-1.4633, 2080-2099, bnu_esm, Annual Anomaly, AZE
-1.9284, 2080-2099, canesm2, Annual Anomaly, AZE
-1.2389, 2080-2099, ccsm4, Annual Anomaly, AZE
