Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.52382, 2020-2039, access1_3, Annual Anomaly, AFG
0.4662, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AFG
0.32743, 2020-2039, bcc_csm1_1, Annual Anomaly, AFG
0.10466, 2020-2039, bnu_esm, Annual Anomaly, AFG
0.03915, 2020-2039, canesm2, Annual Anomaly, AFG
0.05461, 2020-2039, ccsm4, Annual Anomaly, AFG
0.19547, 2020-2039, cesm1_bgc, Annual Anomaly, AFG
0.12804, 2020-2039, cesm1_cam5, Annual Anomaly, AFG
0.19982, 2020-2039, cnrm_cm5, Annual Anomaly, AFG
0.55609, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AFG
0.23802, 2020-2039, gfdl_cm3, Annual Anomaly, AFG
0.31808, 2020-2039, gfdl_esm2g, Annual Anomaly, AFG
0.10684, 2020-2039, gfdl_esm2m, Annual Anomaly, AFG
0.0122, 2020-2039, inmcm4, Annual Anomaly, AFG
0.56305, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AFG
0.52716, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AFG
0.40016, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AFG
0.29579, 2020-2039, miroc5, Annual Anomaly, AFG
0.2404, 2020-2039, miroc_esm_chem, Annual Anomaly, AFG
0.19763, 2020-2039, miroc_esm, Annual Anomaly, AFG
0.18527, 2020-2039, mpi_esm_mr, Annual Anomaly, AFG
0.14282, 2020-2039, mri_cgcm3, Annual Anomaly, AFG
0.44134, 2020-2039, noresm1_m, Annual Anomaly, AFG
0.21874, 2020-2039, access1_3, Annual Anomaly, ALB
0.2601, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ALB
0.02184, 2020-2039, bcc_csm1_1, Annual Anomaly, ALB
0.37781, 2020-2039, bnu_esm, Annual Anomaly, ALB
0.09565, 2020-2039, canesm2, Annual Anomaly, ALB
0.23365, 2020-2039, ccsm4, Annual Anomaly, ALB
0.00248, 2020-2039, cesm1_bgc, Annual Anomaly, ALB
0.00234, 2020-2039, cesm1_cam5, Annual Anomaly, ALB
0.0066, 2020-2039, cnrm_cm5, Annual Anomaly, ALB
0.44178, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ALB
0.57061, 2020-2039, gfdl_cm3, Annual Anomaly, ALB
0.23108, 2020-2039, gfdl_esm2g, Annual Anomaly, ALB
0.17125, 2020-2039, gfdl_esm2m, Annual Anomaly, ALB
0.4027, 2020-2039, inmcm4, Annual Anomaly, ALB
0.11787, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ALB
0.24632, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ALB
0.19829, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, ALB
0.0024, 2020-2039, miroc5, Annual Anomaly, ALB
0.49413, 2020-2039, miroc_esm_chem, Annual Anomaly, ALB
0.52205, 2020-2039, miroc_esm, Annual Anomaly, ALB
-0.0468, 2020-2039, mpi_esm_mr, Annual Anomaly, ALB
-0.0114, 2020-2039, mri_cgcm3, Annual Anomaly, ALB
0.10827, 2020-2039, noresm1_m, Annual Anomaly, ALB
0.57461, 2020-2039, access1_3, Annual Anomaly, DZA
0.32632, 2020-2039, bcc_csm1_1_m, Annual Anomaly, DZA
0.3137, 2020-2039, bcc_csm1_1, Annual Anomaly, DZA
0.44574, 2020-2039, bnu_esm, Annual Anomaly, DZA
